Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
DSC1	-7.36873333832438	4.51537816112305e-06	DOWN	-6.73836855005017	2.82247743853041e-06	DOWN	-6.0869459666536	7.61224653800343e-06	DOWN
DUSP7	-2.53472778594441	1.03794936481356e-05	DOWN	-2.48982864304052	2.62354455966882e-05	DOWN	-2.43438648325232	6.39864364144532e-05	DOWN
DVL1	-2.54420113025458	1.05305541282782e-05	DOWN	-1.91859854318102	0.0204312424136434	DOWN	-1.52849388719058	0.346272823380976	NOT
ECSIT	-2.87841650771245	0.000111232071697484	DOWN	-2.49944045141562	0.00311409541824043	DOWN	-1.35661870113273	1	NOT
EIF6	-3.10638649045213	2.45295379980153e-07	DOWN	-2.41372420774384	0.00132981732590777	DOWN	-1.78183885309233	0.165049694279479	NOT
EMG1	-2.71426585629455	7.6510407253556e-07	DOWN	-2.12875657762617	0.00198331549017718	DOWN	-1.66003495390232	0.141915034481089	NOT
EPN3	-5.5866088851153	3.16589609566051e-08	DOWN	-3.27498577857524	0.00588800001811742	DOWN	-2.23637046035078	0.267316580179371	NOT
EPS8L1	-4.9471537415087	9.34993825116907e-07	DOWN	-3.18946845472703	0.00626657673745221	DOWN	-2.09166704499624	0.346272823380976	NOT
ERAL1	-2.636242408966	0.000160115059835211	DOWN	-2.09110649985798	0.0251227242964486	DOWN	-1.64319917496154	0.348525389000061	NOT
ERF	-2.28988355327661	0.00288705669179704	DOWN	-2.2842540207763	0.00372005823483079	DOWN	-1.96126589919289	0.0507842655934444	NOT
ETNK2	-2.84224285159954	0.0304279438360106	DOWN	-2.81690088601719	0.0408804225492201	DOWN	-1.73977187660327	0.802214391640931	NOT
FABP5	-4.87521227341047	3.32922287926796e-09	DOWN	-4.43557703408773	4.15928408041564e-08	DOWN	-3.55794094148255	3.99058800169247e-05	DOWN
FAM189A2	-6.6773288534679	8.38049769107791e-06	DOWN	-3.73415792297573	0.00261458388757492	DOWN	-2.30080394456047	0.266876024434472	NOT
FAM25A	-5.23862579665678	0.0111018206334697	DOWN	-4.45612429033011	0.0353119548985219	DOWN	-4.41292846169554	0.042811164751504	DOWN
FAM46B	-6.66714659431054	4.40946866735178e-15	DOWN	-6.22787764167925	1.96770513820387e-13	DOWN	-5.16941494121534	6.04383651824486e-09	DOWN
FAM53B	-3.48158981667906	1.98874607138632e-13	DOWN	-3.04382480736026	1.41089778258625e-09	DOWN	-2.48141166662974	2.39278996558435e-05	DOWN
FAM83F	-9.11242874569832	3.71742222636638e-12	DOWN	-6.0331516035505	9.85164443533894e-11	DOWN	-4.38495745444592	7.35547203862932e-06	DOWN
FAM83G	-3.86798577112603	2.16537004249477e-08	DOWN	-2.64343101410574	0.00281417230054158	DOWN	-1.71908383099021	0.421896299582094	NOT
FAM89A	-3.65153215841993	3.30078692044285e-05	DOWN	-2.96024284496421	0.00266409456451763	DOWN	-1.96945214568882	0.280707282503613	NOT
FEM1A	-3.22413522021549	2.08636392374405e-06	DOWN	-2.7093939293639	0.000463660606721986	DOWN	-2.45658366854465	0.00425799352174037	DOWN
FHDC1	-4.3680987810918	5.24401271441204e-06	DOWN	-3.01071540177098	0.00624030440458959	DOWN	-2.28624675967791	0.138972224525317	NOT
FKBP5	-3.88413945686758	2.35450467446486e-13	DOWN	-2.47640601804012	0.000162283154209988	DOWN	-2.23971191273981	0.00234066257623601	DOWN
FLAD1	-2.25851255957091	0.00237781856388817	DOWN	-2.25640656078078	0.00271984767631931	DOWN	-2.20459843415049	0.00468587216819273	DOWN
GADD45B	-3.17601712948181	0.000936795507178832	DOWN	-2.54566250517967	0.0365866658230718	DOWN	-0.987551832923992	1	NOT
GATM	-5.80607560008893	0.000936795507178832	DOWN	-4.21246897676404	0.00907960563183528	DOWN	-3.20867981541916	0.0796003379215136	NOT
GCNT2	-6.57442927638623	4.90890404906901e-09	DOWN	-4.80179650378778	1.37295329977571e-06	DOWN	-4.01314248666824	0.000121075053180164	DOWN
