Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
MOSPD2	2.76766915890967	1.97821240273581e-13	UP	2.68663904834888	1.0322034567219e-12	UP	1.99353404654905	2.97425248692924e-07	UP	-1.21939893418844
CEP126	4.52632444144898	1.78417401306898e-12	UP	3.76137690093412	8.53705626132076e-09	UP	2.87995333401207	2.0801702136478e-05	UP	-1.23358222657516
MIR3611	3.56935589112427	0.00483212537594964	UP	3.25526639171002	0.0117776631984529	UP	2.40520907991281	0.0934977632576913	NOT	-1.24106226870134
TTC37	2.82079191247833	4.27245336049097e-11	UP	2.79111550612557	8.23282451764918e-11	UP	2.03135880770532	4.03014925537643e-06	UP	-1.24192570293231
GRIN3A	1.79877332563609	0.00817915280590747	UP	1.74885572900191	0.00936519257796027	UP	1.5233461812241	0.0308346638614954	UP	-1.24791903681212
TMEM65	1.74048204353092	1.6174589290727e-05	UP	1.54716403329027	0.00015545710811109	UP	1.49516291264411	0.000299440345752274	UP	-1.2498437817573
CCDC47	2.34963253833391	2.78800847761343e-12	UP	2.16089875091039	1.74216414324834e-10	UP	1.80154694094558	1.70495835193174e-07	UP	-1.25346134355725
TEX29	3.87365938151181	0.000238107068025826	UP	3.14496888952733	0.00440181278969885	UP	2.56379506243891	0.0307358679653863	UP	-1.25393074336601
ZNF227	2.09333349522558	1.67594039182031e-10	UP	1.78811582790349	6.88586060110933e-08	UP	1.6743460158997	6.35628672625549e-07	UP	-1.25535853657382
SPACA6P	2.2217055430058	1.25706002960451e-05	UP	1.87126993608862	0.000320699825955238	UP	1.74440282417444	0.00100319250916495	UP	-1.26710010534308
BTN2A3P	1.56130997435196	0.00266228267893556	UP	1.50895786556292	0.00373659235680035	UP	1.41863789388947	0.00754889408718467	UP	-1.27596581342698
METTL14	1.66690308171156	3.24971438795226e-07	UP	1.59688426513713	1.04422432824721e-06	UP	1.47152138455931	9.1760767147981e-06	UP	-1.27613968740706
IFI16	3.0632023473555	6.4359297748479e-14	UP	2.74095732181719	2.86826291400948e-11	UP	2.17231418565767	2.26899337864628e-07	UP	-1.28142602395985
CAPS2	2.25476386477199	0.0214322135826063	UP	2.17243357246828	0.0284996575367089	UP	1.77205519509807	0.0889636696530206	NOT	-1.28934652542415
CACNA2D3	5.26799394223758	1.11915939054623e-09	UP	4.15701393906639	4.05287230828384e-06	UP	3.27874216531041	0.000628223219492502	UP	-1.28949038838324
DIRC1	5.67901900900145	9.75496258571579e-05	UP	3.79424211160725	0.0154132176722282	UP	3.48474671607469	0.0307199694783525	UP	-1.29047442314793
XRN1	2.68786021450704	1.46875760251852e-18	UP	2.49186975109963	4.92995904932776e-16	UP	1.98987290036359	1.85188789872352e-10	UP	-1.29188558622015
LOC101929140	1.69887271570521	0.0249499514746168	UP	1.52489874973618	0.0472778945082032	UP	1.49683786477912	0.0555434610180311	NOT	-1.29480301385304
RALGPS2	2.88008606440652	5.81975415172387e-19	UP	2.48798918524458	2.62797270452837e-14	UP	2.08847150435805	2.91415620474994e-10	UP	-1.29685694430959
C14orf159	2.1854357603725	3.28902991693667e-06	UP	1.82677062830832	0.000139595461985556	UP	1.74176538240241	0.000326293537719335	UP	-1.29809500443233
RASA2	2.5367421132842	2.51806548958473e-08	UP	2.50779010566036	4.37705475564011e-08	UP	1.91892943529973	4.42317505695393e-05	UP	-1.30111675731525
IFT80	3.511443030115	6.71037686222476e-18	UP	3.30720218457505	5.91331594942628e-16	UP	2.40647932522429	1.13224339526079e-08	UP	-1.30151562033358
SBSPON	3.06658943848018	0.00040117216637668	UP	2.49896294325615	0.00559977887033689	UP	2.18692900668347	0.0207223711971143	UP	-1.30726857488677
FRMD6-AS1	3.26706850274223	8.304716928509e-09	UP	2.90895307303562	4.03861891604026e-07	UP	2.28764480838721	0.00014830367832934	UP	-1.30822111403218
RDX	2.91789997694612	5.88876297694039e-22	UP	2.48749132511139	4.14701667930363e-16	UP	2.11733667726555	8.69132917843749e-12	UP	-1.31677337758499
MIR645	3.02994027732908	0.0107166791723079	UP	2.99644741597329	0.011229636125913	UP	2.17359118871649	0.0993155273138687	NOT	-1.3172421001039
ZEB1	8.29082712659791	2.5342531159945e-14	UP	7.39011654328499	1.66498016327674e-11	UP	4.80457468410137	2.25098249514759e-05	UP	-1.31832224160483
CCDC80	5.12865701320362	1.04890407555782e-21	UP	3.93901573711192	4.27146361050838e-13	UP	3.22416851836953	4.92750972598094e-09	UP	-1.31968002353543
PSD3	3.31689380325162	3.44442916486274e-13	UP	2.64053461572797	1.21054473054106e-08	UP	2.31900393567448	7.78504221284305e-07	UP	-1.32111406809734
CCDC93	1.84261986169005	1.9523675000721e-06	UP	1.74910670098698	7.74590824785746e-06	UP	1.58325648261039	6.4885610178826e-05	UP	-1.32389310353073
NIN	2.19311189729614	3.64503879305582e-11	UP	2.09994859851438	2.89474668426685e-10	UP	1.75873893109025	2.06247067368548e-07	UP	-1.32436596488436
GNB3	2.90588679613902	8.75635776608492e-06	UP	2.42438887183257	0.00032487703111921	UP	2.11948278155121	0.00268142617428122	UP	-1.3330787669634
FMO1	6.58114484277305	4.14259803247243e-07	UP	5.97000382863497	6.33758687464243e-06	UP	3.95930470641838	0.00638095197698108	UP	-1.33746457006371
MMP1	5.68371455164655	3.84654281575187e-05	UP	4.59132705679491	0.0012019239148044	UP	3.51214349645017	0.0167457997810497	UP	-1.34057244125379
IL13RA2	6.08701040231197	9.45628057917434e-12	UP	4.86767985716257	8.86344039673826e-08	UP	3.71740984619868	7.09521947467902e-05	UP	-1.34780929008538
TMEM87B	2.08970200084123	1.95207441716753e-12	UP	1.99346149771328	2.22708738930124e-11	UP	1.72458579968699	1.1313259288427e-08	UP	-1.35946959853275
CYP26B1	3.04478577294609	1.90626698967231e-05	UP	2.47582931839356	0.000706091969116999	UP	2.20504188541797	0.00305984749413513	UP	-1.36529799788984
RNF139-AS1	1.59048575463083	0.0225474397331375	UP	1.49261851801678	0.0347255354818603	UP	1.48045027338869	0.0385684963915681	UP	-1.37041479214656
BAG2	5.48664954066503	5.12412398306143e-22	UP	4.67802584731095	4.08659764085557e-16	UP	3.43271520811389	6.63503764437561e-09	UP	-1.37878087556274
TRIM46	2.31502110983958	3.11894120090778e-06	UP	2.23502398145294	6.36829062852061e-06	UP	1.84763979523738	0.00033678057252726	UP	-1.38025848063517
EVI2B	2.95801443117549	2.98347758456809e-06	UP	2.69251018310152	2.56966477755784e-05	UP	2.17508311483403	0.00119758820869896	UP	-1.39215179849256
FRAS1	3.13222138983657	5.53248268189228e-12	UP	2.72943093801948	2.98528611899282e-09	UP	2.26272643947703	1.33887895720833e-06	UP	-1.39323148911749
FAM171B	3.26474392670091	1.73770623337279e-08	UP	2.7947793677846	2.0786247680799e-06	UP	2.33319745981287	0.000109684854701484	UP	-1.40165099292483
SYNJ2-IT1	4.15730973531503	0.000406636469461225	UP	3.74026080683921	0.00187256359678393	UP	2.78026000457025	0.0364352959166091	UP	-1.40321027382547
TPBG	2.13051777129267	7.41249015078392e-11	UP	1.93822716536228	4.41010633556136e-09	UP	1.77015084229937	1.10225237849938e-07	UP	-1.40978391330608
ZNF638	2.45978926418435	1.10650161373634e-13	UP	2.44192062644873	1.9358106954733e-13	UP	1.93553063349864	1.01003311444966e-08	UP	-1.41127200281293
CALCRL	2.98361505245723	0.00777277634169734	UP	2.83400021095812	0.0127564398839826	UP	2.20011344556946	0.0673131382138761	NOT	-1.41661183868169
LUM	7.8836566648228	5.61822824514805e-09	UP	6.79406899466911	7.46116998551074e-07	UP	4.65425770474753	0.00104736514863624	UP	-1.42485874467227
CSF1	5.43608949677652	5.13011870507988e-24	UP	3.8063285069206	3.83750734388384e-12	UP	3.43098452350988	5.812008677599e-10	UP	-1.42587955024324
NKTR	3.52046686544946	3.65000714747992e-18	UP	3.3226405741581	3.24948745634295e-16	UP	2.47385832479204	2.66451408935651e-09	UP	-1.42724978413462
POU5F1P5	2.92230709894553	2.86230519223259e-05	UP	2.82732825430425	5.46533485188906e-05	UP	2.17493458091663	0.00333854766129761	UP	-1.42756206288774
ZFP62	1.59658964918949	0.000233353825666913	UP	1.54679453417093	0.000399222839604859	UP	1.51407612188636	0.000589120503495078	UP	-1.43156259458323
LOC100507156	6.25101412261535	3.47480138750873e-22	UP	5.86158669257279	1.56032652447443e-19	UP	3.84207799830855	3.18536035010888e-08	UP	-1.43314187400176
AHI1	3.2446348390748	1.82354936279548e-13	UP	3.04156113771398	6.7855499019924e-12	UP	2.33991586672348	2.64417924175273e-07	UP	-1.43519689437216
FKBP14	1.90702369580745	9.15677720417737e-14	UP	1.69499212855667	4.54948847650316e-11	UP	1.67263688385857	9.95023725831427e-11	UP	-1.43825007190969
NR2C1	1.55878352622078	6.49866732534936e-08	UP	1.53218509116109	1.02943766642338e-07	UP	1.49983600099558	2.29925017169663e-07	UP	-1.44088847577038
LOC100505795	6.28998887429741	1.2549889307722e-09	UP	5.50180688175717	2.04074565016828e-07	UP	3.86969573429225	0.000906714942205449	UP	-1.44940259428709
ITSN2	1.92124809378318	2.42219986032685e-10	UP	1.8604945858991	9.74585734589734e-10	UP	1.68611543934824	4.25918641543749e-08	UP	-1.4509827849133
MAGI3	2.27707542054737	4.20064133515627e-12	UP	2.26448572831669	4.35561058287041e-12	UP	1.86419329746238	2.688988013684e-08	UP	-1.45131117437739
PARP9	3.49462336384297	3.46227444953744e-14	UP	2.83994436648351	1.32024717423145e-09	UP	2.47305495024703	1.81249010468598e-07	UP	-1.45148653665109
STMN2	9.723783627271	3.12392550042403e-16	UP	8.8617521348182	1.52593278941099e-13	UP	5.58918004400071	7.79336754119735e-06	UP	-1.45457646073042
AGPAT4	2.02874166422479	2.69467620770571e-05	UP	1.85454943360199	0.000148857090359588	UP	1.74577822774368	0.000429295850029898	UP	-1.46281479126257
