Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
RUNX1	2.97750455564432	4.04909678904246e-06	UP	2.64601279527869	0.000253183307841858	UP	1.35417479874771	1	NOT
RUNX1T1	9.87120821474957	2.63043567170314e-14	UP	8.78420434445735	5.2537663940912e-11	UP	5.23549591455585	0.00149831398174426	UP
RXFP1	8.96688522837185	1.12209521117082e-10	UP	6.90206223009483	6.65671086554615e-06	UP	0	1	NOT
S100A4	5.60367063273903	5.1376792054941e-09	UP	4.19815815629793	0.00014355108703777	UP	1.88803179138519	0.719500645793982	NOT
S1PR1	4.7485099021721	0.000268315837867328	UP	3.74618649870953	0.0174093510251215	UP	0.931400434360206	1	NOT
S1PR3	5.93947239092386	5.30325098108702e-06	UP	4.96381734407917	0.000560868203924647	UP	2.43579344063978	0.513522843373519	NOT
SACS	3.39465350194772	5.46308393178531e-05	UP	2.80474103010819	0.00524395381197307	UP	0.712752313845843	1	NOT
SAMD9L	9.2360825155585	5.22462270163925e-45	UP	8.33333504122264	1.52601870397034e-35	UP	7.48409734799925	2.28437210438218e-27	UP
SAMHD1	5.28707987686239	2.63043567170314e-14	UP	4.01866225587387	2.95096018720419e-07	UP	2.44900245250522	0.0448193212958113	UP
SATB2	3.49836710442657	3.96035163408344e-07	UP	2.74552261293237	0.00111698725055313	UP	1.79415756859513	0.342225656831849	NOT
SCAPER	2.79569426411957	2.90568080192518e-08	UP	2.48137681756563	1.02964250894056e-05	UP	1.88011688133032	0.0277651126749286	UP
SCN1A	8.20581552818045	1.78372177160697e-09	UP	6.21584397708178	4.5358281784215e-05	UP	1.10712085281321	1	NOT
SCN8A	5.42573733949946	5.61677678652446e-06	UP	4.30333595069416	0.00168086141763665	UP	1.05340677877633	1	NOT
SCN9A	6.93731307881812	2.13244199829281e-11	UP	6.86004608157955	5.71895881079715e-11	UP	4.88765843127532	5.86501769284607e-05	UP
