Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
ATP5G3	-1.13847410816433	0.00579559551075041	DOWN	-1.02720696238253	0.0145571060253425	DOWN	-0.158899747325018	0.771598530568469	NOT
ATP6V0B	-2.36867652945742	4.14476016348059e-12	DOWN	-2.36080803548287	3.39152263290857e-12	DOWN	-1.65904957048213	1.21240500667096e-06	DOWN
ATPAF2	-1.62296271568812	2.55910735111565e-05	DOWN	-1.31116936044164	0.000558812044482482	DOWN	-0.852994753188829	0.0292669272638241	NOT
ATXN1L	-1.58428541724407	9.01077906462664e-06	DOWN	-1.26980282529862	0.000476913077049439	DOWN	-0.976224455568849	0.00913327741563071	NOT
AUP1	-2.12153670535249	2.4587019765892e-08	DOWN	-1.41255598145288	0.000261503371528104	DOWN	-0.991867924215388	0.0134413111093121	NOT
AVPI1	-3.67640099936043	4.09931393383608e-12	DOWN	-3.57840718181295	1.36262659198815e-11	DOWN	-2.32432204686229	1.59827775488394e-05	DOWN
AXIN1	-2.25842146304672	2.3692579452908e-07	DOWN	-1.29924379395988	0.00383186320081266	DOWN	-0.710073919215237	0.14247488281347	NOT
AZGP1	-6.52665218477444	1.39865337780609e-07	DOWN	-3.48697979748526	0.00019115437588942	DOWN	-1.6350641013619	0.0896515901551789	NOT
B3GNT2	-1.81350447591787	7.62852779197975e-06	DOWN	-1.40631732163687	0.000515454410256256	DOWN	-0.867074031507214	0.040580470507608	NOT
B4GALNT3	-7.55428893109207	1.53493217185565e-10	DOWN	-3.35532007224294	0.000132368528929959	DOWN	-2.0755933495548	0.0221560733869028	DOWN
BAG3	-1.8706115277437	2.50138949093438e-06	DOWN	-1.37496923322505	0.000718813135326725	DOWN	-0.772083959647521	0.0755523536716572	NOT
BAHD1	-2.00055098725645	2.69217955399187e-10	DOWN	-1.87473153673225	2.59067399954112e-09	DOWN	-1.35938653352257	1.93839885371556e-05	DOWN
BAIAP2	-4.24194702157017	2.59171248212307e-24	DOWN	-3.01675582947136	2.95979724146692e-14	DOWN	-2.0636851428042	2.32105184162554e-07	DOWN
BAK1	-2.91871806369346	3.08298399364882e-10	DOWN	-2.5613770495338	2.99800285629491e-08	DOWN	-1.62299927993414	0.000606083684783425	DOWN
BANF1	-1.9625722183513	6.66903378014363e-06	DOWN	-1.44439796783741	0.00120704435039251	DOWN	-0.363288502037155	0.497050403994789	NOT
BARX2	-5.934619148032	3.51803313416553e-06	DOWN	-2.0900974113439	0.0491284728680359	DOWN	-1.44262507907422	0.195627437252486	NOT
BBOX1	-5.11634115995937	2.14157163862708e-05	DOWN	-4.39535721754712	3.39243182220946e-05	DOWN	-3.74368384830969	0.000204612787132873	DOWN
BCAN	-7.19384666703537	7.28692520964769e-16	DOWN	-3.56232616066672	2.38596148379755e-05	DOWN	-2.77223810100878	0.00130459268364624	DOWN
BCKDHA	-1.77196788229498	7.37432487647322e-08	DOWN	-1.60292562981015	7.13595102726487e-07	DOWN	-1.21152816776673	0.000204863079763502	DOWN
BCL11B	-6.13882163384995	2.1382468148668e-09	DOWN	-4.43980877588618	2.05945381086584e-10	DOWN	-2.86917172748438	1.06694246464588e-06	DOWN
BCL2L1	-2.20613759619738	3.96388956254793e-09	DOWN	-1.98693747769193	1.35985315559082e-07	DOWN	-1.37654744354823	0.00037221043747427	DOWN
BCL2L12	-2.10869868354816	1.18327296597187e-06	DOWN	-1.50568190315803	0.000283278085739568	DOWN	-0.50186306553496	0.269075407174634	NOT
BCL7A	-1.647119628903	0.00171353770565644	DOWN	-1.27274500030692	0.0173378115188342	DOWN	-0.872641093355534	0.12057093671579	NOT
BCR	-2.40109078620167	1.95184154343452e-10	DOWN	-1.55540990865315	5.16679553921681e-05	DOWN	-0.83936445532963	0.04009015317018	NOT
BCS1L	-2.59025672675048	9.74846273369111e-11	DOWN	-1.60410408060645	3.73497379898288e-05	DOWN	-1.13229544734076	0.00442984115138702	DOWN
BEGAIN	-4.56984019583994	3.4850128993699e-05	DOWN	-4.02227218275802	5.81007297535823e-05	DOWN	-3.80848534997207	0.000121793993249709	DOWN
BEX2	-3.51341323355799	0.00251548803988631	DOWN	-2.38592524402585	0.0235478935726718	DOWN	-2.2482328615052	0.0345446202582881	DOWN
BICD2	-2.01264339885613	9.82853586234492e-05	DOWN	-1.08119532635663	0.0496822781881096	DOWN	-0.584282030416985	0.335812605278729	NOT
BLVRB	-1.5139866049487	0.000677232381757176	DOWN	-1.5032427622505	0.000770586060030811	DOWN	-0.702273391885626	0.146072570157534	NOT
BMP7	-6.57675323227253	1.14742746731501e-07	DOWN	-3.74929367929196	1.17201235106443e-05	DOWN	-3.05355248609231	0.000240787676067087	DOWN
BNIPL	-4.44051208336841	2.24935091387422e-06	DOWN	-3.78751435169523	1.72825194123782e-05	DOWN	-2.53982977059228	0.00325571211684786	DOWN
BOP1	-3.46582181156421	2.03545903682874e-11	DOWN	-1.93412559439651	0.000188792002564165	DOWN	-1.253888893676	0.0203117278580712	DOWN
BRAT1	-1.70786809648286	2.8734694972729e-08	DOWN	-1.4880246788014	7.86491183470125e-07	DOWN	-1.22780156806634	5.14465658541833e-05	DOWN
BRD2	-1.54147933652015	2.76169289088432e-06	DOWN	-1.25798976563917	0.000176774487159834	DOWN	-0.892523505352933	0.0103944229822015	NOT
BRF1	-1.16230185942415	0.00104455011078901	DOWN	-1.00386704095194	0.00486968646935588	DOWN	-0.991885158748041	0.00582027258972484	NOT
