0d	90d	120d	control	std
STMN2	7.92141866444494	6.58480161701251	3.84010046205906	1.77198280095077	2.75730824184068
CLDN11	10.7341981543517	8.58914238773256	5.4106902821605	4.93792517750797	2.74158154594981
COL1A2	15.1389625316102	13.9402197480169	10.9952004000615	9.15927563680278	2.72741619967105
COL8A1	10.9125653440477	9.01328729641192	6.07848580985645	4.95039861692097	2.72206598973194
ALDH1A1	9.15040814017078	8.44397263464335	4.89278455983034	3.53630259095976	2.71846764626166
FAP	9.77638733637401	8.89232648432798	5.95861057150395	3.87452440459002	2.71289222973333
CPED1	9.57084488788566	7.96591194972803	5.07522605124105	3.5938185491033	2.71073600352627
ADAM33	9.66310172467665	8.20419600293767	5.49188603208798	3.61404462251569	2.70910411878308
ANGPT1	7.50319855500847	6.05815431410162	3.40356221000147	1.44058391608355	2.70605134654696
LRRC15	8.22628281765446	7.42245081594179	4.6647826332262	2.33196632560144	2.69309602559065
ACKR4	10.2199343919842	8.26692512582704	5.67611761058178	4.17866595297557	2.68678786845827
MMP3	13.1529073464724	12.0908379893338	9.8767723693781	7.08208340085616	2.68508147942825
SULF1	11.8575389110356	10.9708210308157	8.07902751128732	6.04130827739806	2.67249604306926
ADGRD1	6.88739565292601	6.04302393970128	3.01776250476233	1.1592272952531	2.66077630533434
IL6	8.2434476316625	7.89905144616647	5.09857808553507	2.58552457227542	2.65224061540997
LOX	12.0270796514072	10.503320264125	7.58972700876094	6.2413317463251	2.64509863606278
ZEB1	10.0202899311483	8.94129261324689	6.28327758355075	4.16042693503957	2.64410832856648
PTGIS	9.77544097828096	7.7659318725367	6.5906539762721	3.52283599899689	2.61522325351
GRIA3	8.85576145587299	7.36349528404472	4.40537187291928	3.17968338646001	2.61418847180433
PDE1C	7.43790242387848	5.82705538778173	3.14404096360168	1.63583453346196	2.60984756107696
C1S	11.9200975585136	10.6217106928251	8.90558214807066	5.91055992922394	2.59804174526259
PDGFRB	11.1884859210561	10.713314744573	8.53992135858306	5.4952982623732	2.59605682112757
PAPPA	11.2011862403798	10.8501290127757	8.64968981390962	5.5641985759738	2.59345738590404
CXCL6	8.45997510189907	7.42513803726049	5.45044199391965	2.56913137211099	2.5918525103046
