Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
POF1B	-6.37536025167434	9.85529398197123e-09	DOWN	-3.22477536041819	0.00142115158374567	DOWN	-1.40002367386866	0.207351345401542	NOT	-3.57531290393702
IL20RB	-4.18907975074367	1.38475016178091e-08	DOWN	-1.57986147764373	0.0445671632658296	DOWN	-0.317049172115989	0.749807352728595	NOT	-3.55498140651169
VGLL1	-6.51344300472362	7.07993896750525e-07	DOWN	-3.67314492220907	0.00146289849801257	DOWN	-1.4901208140616	0.237718569326287	NOT	-3.53320137660043
S100A2	-7.17497551172618	3.84613086784223e-15	DOWN	-3.46480757142856	0.000103031358657161	DOWN	-1.8408421653737	0.0536672944672324	NOT	-3.49329118097878
CKMT1B	-6.8033988977371	1.27038217891344e-08	DOWN	-2.53186607862024	0.00391588024820299	DOWN	-1.67353162469877	0.066412442102016	NOT	-3.45633564833956
RAP1GAP	-7.0486682341554	2.31358960395417e-12	DOWN	-3.11138571622984	5.6276750845268e-06	DOWN	-1.80065230126794	0.0103380471150941	DOWN	-3.44736363161952
IGFL1	-5.45963918609715	1.85767577726061e-07	DOWN	-2.08167860837829	0.00478664067752235	DOWN	-1.01242069487568	0.193640489385161	NOT	-3.43479779634578
B4GALNT3	-7.55428893109207	1.53493217185565e-10	DOWN	-3.35532007224294	0.000132368528929959	DOWN	-2.0755933495548	0.0221560733869028	DOWN	-3.40310223198247
FAM160A1	-4.45602173225598	6.01641451813768e-07	DOWN	-1.81595264274312	0.0493775536298202	DOWN	-0.541172501372818	0.62312196259849	NOT	-3.37367672951035
CKMT1A	-6.55807485947589	4.45567895067838e-08	DOWN	-2.26948193923189	0.00857689527670247	DOWN	-1.60612236205364	0.0718970239987816	NOT	-3.34583013536861
ARHGEF37	-4.99436873072068	9.91751494282991e-10	DOWN	-1.94932971801356	0.0140096706956291	DOWN	-0.858581262969977	0.334069827746889	NOT	-3.27720620478073
AZGP1	-6.52665218477444	1.39865337780609e-07	DOWN	-3.48697979748526	0.00019115437588942	DOWN	-1.6350641013619	0.0896515901551789	NOT	-3.25652398205065
KLK5	-10.9413631165381	7.31818563098691e-22	DOWN	-5.56071366872241	2.80518007692186e-08	DOWN	-3.86036464786503	0.000172836088917912	DOWN	-3.220633820808
PLEKHG3	-4.36002824330806	1.95109053413397e-11	DOWN	-2.02302751200213	0.00224993027413598	DOWN	-0.582744275856955	0.456281331552108	NOT	-3.19453969159415
SLCO4A1	-4.35701248192766	4.44947774486166e-10	DOWN	-1.66356982766243	0.0107541688851235	DOWN	-0.587380195164563	0.431671494838169	NOT	-3.18225209159853
OVOL1	-6.68278435791208	2.92458758046295e-10	DOWN	-3.84653988729614	7.10673518724301e-05	DOWN	-1.78834800596778	0.0847354351757754	NOT	-3.10608834597652
CSTA	-7.65605710262033	8.20287622496893e-12	DOWN	-3.86789555593574	0.000333461609913475	DOWN	-2.2913023683806	0.044523439801138	DOWN	-3.07345236585913
PRODH	-4.75100999174394	1.03707862344265e-05	DOWN	-3.61925080997671	0.000160297172030606	DOWN	-0.839539986239004	0.41931424988393	NOT	-3.07193001926593
BARX2	-5.934619148032	3.51803313416553e-06	DOWN	-2.0900974113439	0.0491284728680359	DOWN	-1.44262507907422	0.195627437252486	NOT	-3.04936898988355
SH2D3A	-5.28532182826117	4.05883402598685e-11	DOWN	-2.35444568331139	0.0025736912882753	DOWN	-1.15707356281205	0.175026724366463	NOT	-2.97117470263706
DLX3	-6.01437532809405	2.94923804855609e-08	DOWN	-3.27526794004894	0.00010960895483784	DOWN	-1.52828392322399	0.0807313321341369	NOT	-2.95780748164607
INO80C	-3.00003249843496	4.14235904102543e-05	DOWN	-1.61468606994175	0.0245071134693592	DOWN	-0.0240120483926282	0.99014621073149	NOT	-2.9520084016497
SNORD49A	-4.53894024061455	5.28557852404484e-10	DOWN	-2.76401998062711	5.54096631262019e-06	DOWN	-0.806043741950238	0.217695801719738	NOT	-2.92685275671407
COMTD1	-3.93037241605965	3.63238034969929e-06	DOWN	-1.4610276053534	0.0300997231846489	DOWN	-0.514478942405882	0.495126296126266	NOT	-2.90141453124788
PLEK2	-5.62640362275658	8.37809477412214e-13	DOWN	-2.29642310888255	0.0011748102085643	DOWN	-1.37055011669271	0.0665339532265812	NOT	-2.88530338937115
ABCG1	-7.82942365282044	8.62702253829921e-12	DOWN	-4.70549011542066	1.34920639315276e-10	DOWN	-2.47901465932313	0.000352250264487924	DOWN	-2.87139433417419
EPPK1	-7.27390536669501	1.25887660890914e-07	DOWN	-3.00364098283717	0.0413577309100669	DOWN	-2.21214698729265	0.15332906445309	NOT	-2.84961139210972
NMNAT3	-3.91213325016887	0.000863494115520932	DOWN	-2.04763325587863	0.036061430876175	DOWN	-0.54305755579491	0.618332953258828	NOT	-2.82601813857905
CARD10	-5.43065961652183	7.77982896064373e-12	DOWN	-2.314255264289	0.00377804338473519	DOWN	-1.31209510367312	0.126524208528246	NOT	-2.80646940917559
TNRC6C-AS1	-3.71223193859447	0.00031422114540177	DOWN	-1.73093877933763	0.0366005270925837	DOWN	-0.460139280922488	0.621001138697162	NOT	-2.79195337674949
OTUD1	-3.17770122228811	2.22424757264546e-06	DOWN	-1.59886934818576	0.021615287786309	DOWN	-0.204922356785219	0.826523850331311	NOT	-2.76785650871768
