0d	90d	120d	control	std
KRT15	4.24968764191634	6.37273624837034	8.65964015853481	10.2854528966588	2.6389396058221
PKP1	6.07437159913174	8.84637491026575	10.8761309019694	12.0154352492512	2.60605064014208
FGFBP1	4.76062627657929	7.16755630890891	10.0252448707991	10.2293035007595	2.59804848898533
LAD1	4.67881020783594	7.27386994248217	8.64011168834317	10.8719992129659	2.59127232546943
KLK10	3.85797615935304	5.80761774412692	7.98037392037523	9.81873941097285	2.5902946784698
TMEM40	3.37544866824302	4.78325239326219	6.48668207370342	9.38845642828527	2.58759570256298
FAM83F	2.37339077763422	3.33470341558459	4.6486590298881	8.2378671229706	2.56812121413436
EPPK1	4.36583762747748	6.76107374705556	8.23489268061541	10.388528923045	2.53226308338819
S100A8	2.87265297537775	3.80215383696515	6.69905796696681	8.31916736150707	2.5263624235129
LOC100130899	2.7828542905718	4.22423597063159	5.48245068579275	8.69667600359148	2.52084241226244
IVL	2.24495972136311	3.31127219202726	4.24701026286255	7.96895474640345	2.48883893538751
S100A9	3.78820166419514	5.30987864081207	8.60246619511222	8.78028195321049	2.47200930088687
SERPINB5	5.01836175524674	7.96558891717916	9.50478329150528	10.6806785836414	2.44948156023393
PRSS8	4.18714435062882	5.83979248391125	8.36138636468056	9.59168197215862	2.43778087031665
SPRR2A	2.36045886373987	3.78148764215581	4.32577179644759	8.06771267953958	2.43455361607932
FXYD3	4.17042857494354	6.58452329660492	9.05854455824086	9.3022188257493	2.40871386342707
TINCR	1.96941082588178	3.20148863186035	3.28158328546642	7.47147927560458	2.40324490998608
LY6D	1.61508536415997	1.63877435748017	3.67236453141459	6.61918265392271	2.36110216614638
PKP3	4.83181720017817	7.25937509558567	8.72701452843738	10.3629879641708	2.34737862674185
KLK7	2.8604724857825	4.46415639246606	5.75816884419512	8.40602635860992	2.34424064617956
SPRR3	0.725994663930545	0.846009495745112	0.83767144722747	5.48881118833947	2.34343185805432
FAM46B	5.11189691139748	5.35556203027418	5.95587879050015	10.0834613840182	2.33163894406719
AIF1L	3.31062700910107	5.31896970313249	6.96417856394441	8.68411253234668	2.2957442025312
PTPRZ1	1.24283081291653	1.79442684802958	1.85367551682293	6.16251410732246	2.28273337368509
CSTA	3.76066336040258	5.459670651987	7.05272613123181	9.0959453680363	2.27531319428587
CASZ1	3.10712276530777	4.64199166245457	6.03069862971678	8.46607260073001	2.27494707167457
KLK13	1.80504239590501	2.12388747870829	4.03562161443333	6.75368790899161	2.27383490427354
TFCP2L1	3.64665233447774	6.15647588089977	7.40397222507227	9.0252960462152	2.26865493143137
KRT80	5.43856620920869	7.49392584550114	9.23617792199128	10.6941655046684	2.26698011084098
GJB5	2.97598783744458	4.75561485217859	6.19824511127673	8.3286687852895	2.26546185658937
GNA15	3.89104366336704	6.08265792913723	8.30261552251069	8.81123015492034	2.25657154074442
MPZL3	2.95164314938429	4.61309327283891	6.33349359791623	8.20090533319011	2.25594550930172
DSC1	0.866309838754899	0.976037589074313	1.20353731973596	5.50768404593442	2.25058088542823
AJAP1	0.941867826563259	1.271919172662	1.18798932822997	5.62341824693425	2.2491117159184
CAMSAP3	3.38146675174913	5.0475256889989	6.54311730035881	8.6369675635379	2.23415106024461
RASGEF1B	2.13191634563045	2.66407032558484	3.92726172389006	7.11336544216311	2.2335402472629
PLA2G4F	1.24999664001322	1.29595313010267	2.49918538681709	5.99193003014106	2.23136260412953
PLA2G4D	0.683706617643027	0.768736603366691	0.806404304570595	5.14953583428201	2.19889229034969
S100A2	4.8747539416725	6.68196975798133	8.3528421254289	9.93081025573131	2.17492517764035
KLK11	1.97254795189562	2.51338462223085	4.48900092458566	6.69471022586813	2.14428607989147
SOX15	4.40668534857741	5.9728622367774	7.51775386248611	9.33605909071755	2.11018166575018
BCAN	4.41032524166784	6.20814431868638	7.17559377180913	9.44620539063873	2.09792809349855
ZNF185	5.40138037159204	6.84341707148548	8.15851899040603	10.3275236222324	2.09207319701483
ABCG1	2.27654989504094	3.32394605995998	5.04611752772223	7.05060442995072	2.09027440807775
GRHL3	3.23919535814899	4.02524785069603	4.63214563616733	7.98293504799975	2.08807442793786
RNF39	4.09337083918631	4.59622757960108	6.67975971588093	8.6047788979907	2.0698301798795
