case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
AARS	560.362510766088	810.323574910175	1040.89823995946	851.592866267591	1493.31443351138	840.582922926558	737.715920010411	926.82926375333	726.620572778329	1922.27975190224	1505.95731041276	1720.36618402831
AARS2	132.039442192009	151.817063215021	107.85210679098	106.671340242287	156.033555815705	78.9809457783343	147.811932971121	146.498819109397	74.1837757548556	276.545851796631	253.383934960097	225.642081923867
AASDH	122.378019592594	113.862797411266	100.327541200912	97.7820618887631	86.918021024856	69.5784522332945	85.9996700922883	98.6624700124513	55.1622947920721	123.015223730226	70.9232545223238	102.714585738652
AASDHPPT	177.126080989281	91.0902379290127	125.40942650114	199.119835118936	123.570198565458	114.710421249485	75.2497113307523	47.8363490969461	79.8902200436906	230.391302738159	174.984439932571	175.316059995692
AASS	210.941060087234	136.635356893519	127.917615031163	213.342680484574	38.7465876857792	95.9054341594059	64.4997525692162	49.3312350062256	58.9665909846288	53.0205150341127	57.5872579454766	88.6893009389971
AATBC	3.2204741998051	1.89771329018776	2.5081885300228	3.55571134140957	18.8496913065953	30.0879793441273	10.749958761536	37.3721477319891	41.8472581181237	29.7525192277755	30.9152647917822	32.3819075521454
AATF	167.464658389865	248.600441014597	173.065008571573	167.11843304625	741.421191392748	569.791108829412	565.716579825834	644.295826899492	639.121760349525	631.478148481824	603.352814825239	431.483761777632
AATK	0	0	0	0	3.14161521776588	7.52199483603184	2.68748969038401	4.48465772783869	13.3150366739484	15.0669808909889	21.620479298828	28.0505695993107
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0.618762564690677
ABALON	3.2204741998051	5.69313987056329	0	7.11142268281913	12.5664608710635	15.0439896720637	14.7811932971121	11.9590872742365	36.1408138292886	17.3556362162024	13.1339360226526	22.4817065170946
ABAT	54.7480613966868	43.6474056743186	25.081885300228	17.7785567070478	27.2273318873043	58.2954599792467	106.155842770168	52.3210068247848	39.9451100218453	25.1752085773485	60.2140451500071	58.5761894573841
ABCA1	2729.35188433483	952.652071674258	393.78559921358	1665.85076345038	428.306874688748	315.923783113337	4.03123453557601	218.253342754816	110.324589584144	179.087279197956	220.650125180563	214.504355759435
ABCA10	123.988256692497	60.7268252860084	40.1310164803648	99.5599175594679	27.2273318873043	13.1634909630557	33.5936211298001	11.9590872742365	30.4343695404536	43.2937299019553	17.9833893233243	46.2009381635706
ABCA11P	12.8818967992204	43.6474056743186	35.1146394203192	26.6678350605718	21.9913065243612	9.40249354503979	9.40621391634403	16.4437450020752	3.8042961925567	8.01029363824724	8.4865432761755	10.5189635997415
ABCA12	6.44094839961021	15.1817063215021	22.5736967702052	12.4449896949335	124.617403638047	30.0879793441273	88.6871597826723	65.7749800083008	53.2601466957938	357.983837118811	961.404116858167	602.055975444029
ABCA13	302.72457478168	9.48856645093882	12.540942650114	124.449896949335	292.170215252227	103.427428995438	1494.24426785351	287.018094581676	370.918878774278	3.43298298782025	5.25357440906102	3.09381282345339
ABCA17P	6.44094839961021	3.79542658037553	5.0163770600456	5.33356701211435	1.04720507258863	0	2.68748969038401	2.98977181855913	0	0.953606385505624	1.41442387936258	3.30006701168361
ABCA2	357.472636178367	318.815832751544	504.145894534583	352.015422799547	477.525513100414	750.318984894176	855.965466387307	1034.46104922146	1171.72322730746	314.308664662654	276.620898692482	454.584230859418
ABCA3	3.2204741998051	43.6474056743186	87.786598550798	5.33356701211435	7.33043550812039	18.8049870900796	33.5936211298001	11.9590872742365	11.4128885776701	51.6854660944048	37.7853236344004	21.4504355759435
ABCA4	1.61023709990255	9.48856645093882	7.5245655900684	12.4449896949335	0	5.64149612702388	0	5.97954363711826	1.90214809627835	0.38144255420225	0.808242216778619	1.03127094115113
ABCA5	544.260139767063	265.679860626287	260.851607122371	515.578144504387	117.286968129926	152.320395429645	91.3746494730563	82.2187250103761	150.26969960599	215.32432184717	134.774389647835	214.298101571205
ABCA6	627.992468961995	159.407916375772	20.0655082401824	328.903299080385	20.9441014517725	1.88049870900796	0	7.47442954639782	0	28.4174702880676	8.08242216778619	30.113111481613
ABCA7	17.7126080989281	45.5451189645063	32.6064508902964	55.1135257918483	77.4931753715584	75.2199483603184	181.405554100921	121.085758651645	79.8902200436906	107.757521562136	90.9272493875946	136.95278098487
ABCA8	30.5945048981485	157.510203085584	7.5245655900684	58.6692371332579	29.3217420324815	5.64149612702388	0	13.4539731835161	0	4.00514681912362	7.27417995100757	0
ABCA9	383.236429776807	129.044503732768	15.0491311801368	277.345484629946	26.1801268147157	3.76099741801592	0	14.9488590927956	0	12.3968830115731	9.29478549295411	28.0505695993107
ABCA9-AS1	1.61023709990255	1.89771329018776	0	0	0	0	0	0	0	0	0	0
