case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
AAK1	10.1697583503464	10.2495577894951	10.2291607143007	10.1923019109018	9.91892716549992	10.021404859024	9.86553318159002	9.96254434737435	9.68326811559376	9.5407096740973	9.55640360744219	8.94860499938364
AAMDC	4.02096924665097	4.39059077796321	3.62928776253206	3.73998337266749	3.38583429442932	3.01256835428362	3.26267841724096	3.04199022509599	3.90645909056693	3.22060368817031	3.79186863054097	3.82333747573064
AAMP	7.65386364231415	7.89549002577311	7.76973022057154	7.55761479575717	8.26070184010926	8.23507583126767	8.56720852201879	8.56610084412373	8.93342952949654	9.29477778368942	9.20159933562158	9.08396061266426
AANAT	0.494911302228787	-0.0289942259151868	0.68852313656332	-0.038292047085431	0.858513967638677	0.560544369908629	0.421643051341424	0.464368574736558	0.948445747133754	-0.233638056040471	0.0227828815486346	0.880055011674401
AAR2	7.20481449764299	7.43985285472314	7.24908427276747	7.0192199535292	7.57391027235034	6.98871690042253	7.50404300678657	7.34360835521167	6.86936149583281	9.34073353871114	9.04875116490003	8.69851024266784
AARD	-1.17868566505049	0.0603329112488054	0.588329457126166	-1.16758219939238	-0.653912550836352	-1.16124183414902	-1.19858149197638	-1.18693016816058	-1.15994555997848	-1.34449262491416	-0.985547558913537	-1.34133537589057
AARS	9.39443912757347	9.76093298445611	10.0171697496851	9.81130908130261	10.3957563832861	9.79809691558529	9.6662454494205	9.89769254597788	9.651161117813	10.6663535657737	10.4048161454783	10.546965167581
AARS2	7.08210789969829	7.22391086900557	6.88091045862753	6.86925269431302	7.25213398537922	6.57854292785783	7.19665945045174	7.18754372494702	6.5195067954759	7.85407712290342	7.76058472841567	7.63742875869814
AASDH	6.81433744532416	6.739627979288	6.61012007503527	6.58432439648339	6.46554669126055	6.24609806875437	6.45497804769629	6.59349450680114	6.02434787551832	6.82119273955727	6.26230593697669	6.63502522192595
AASDHPPT	7.32202048979783	6.64625859169351	6.96559039480721	7.44495485801433	6.95061326859608	6.87546104867183	6.45960210232463	6.04045298120377	6.51856407595748	7.6017318290743	7.31051603021936	7.31249801450283
AASS	7.3678727844433	6.90487317701577	6.83505972581024	7.37976886914264	5.66067747326657	6.53901184452501	6.14298637752694	5.88625859374078	6.05725201816093	5.94978279522027	6.02984222960919	6.45996196694932
AATBC	2.75606537725519	2.53842389144532	2.70760969658253	2.8233246346281	4.11420324337961	4.56653453867383	3.60408460061575	4.79134047279243	4.90443351131621	4.57113662974603	4.60998482679197	4.65722209959805
